path,domain,state,priority,owner,last_reviewed,next_action,notes
"data/rooms/rooms.md",property_inventory,inbox,P1,"Omar+Agent",2026-02-13,"classify canonical vs legacy role","cross-domain summary file; formerly data/core/property/inventory/pending/inventory.md"
"data/rooms/amenities.md",amenities,planned,P1,"Omar+Agent",2026-02-13,"create contract + reconciliation log","next domain after rooms"
"data/property/facilities/",facilities,planned,P1,"Omar+Agent",2026-02-13,"create contract + reconciliation log","target after amenities"
"data/rooms/beds.md",beds,inbox,P2,"Omar+Agent",2026-02-13,"schema triage","unclear if canonical standalone or subordinate to rooms"
"data/rooms/",inventory_backups,planned,P2,"Omar+Agent",2026-02-13,"define backup retention policy","formerly data/core/property/inventory/backups/rooms"
"docs/backups",documentation_backups,planned,P2,"Omar+Agent",2026-02-13,"define backup retention policy","backup artifacts isolated from active docs paths"
"docs/reference/knowledge/duplicates/stakeholders-2026-02-13",documentation_duplicates,inbox,P2,"Omar+Agent",2026-02-13,"decide merge/delete strategy against docs/client","contestable duplicate set isolated from active knowledge paths"
"docs/content/reference",content,inbox,P2,"Omar+Agent",2026-02-13,"triage and promote approved subset to docs/content/active","raw content isolated in reference lane"
"docs/content/pending",content,inbox,P3,"Omar+Agent",2026-02-13,"use as intake lane for new unprocessed content","empty lane prepared for controlled intake"
"data/pending/finance",finance,inbox,P2,"Omar+Agent",2026-02-13,"inventory and classify files","physically isolated pending finance domain"
"origin/main",scm,working,P1,"Omar+Agent",2026-02-13,"non-destructive integration plan","remote main has independent history; bootstrap branch is synced"
